Feature,Importance
Age,0.2367072099234022
EstimatedSalary,0.14813511098570378
CreditScore,0.1436999973791295
Balance,0.1428956092449132
NumOfProducts,0.12807335939837153
Tenure,0.0808761875156269
IsActiveMember,0.03990950500330926
Geography_Germany,0.028992294811334075
HasCrCard,0.01856261999553971
Gender_Male,0.018371447569370706
Geography_Spain,0.013776658173299167
